heard,building,noise,in_vehicle,asleep,no_windows,age,distance
1,1,0,0,0,0,27,360.4108378596029
1,0,0,0,0,0,23,395.58296170572305
1,0,0,0,0,0,31,154.89398386629267
1,0,0,0,0,0,50,1002.0292921675872
1,1,0,0,0,0,54,307.140533244326
1,0,0,0,0,0,20,819.504630748893
1,0,0,0,0,0,51,942.0063578701304
1,0,0,0,0,0,23,975.5215135330543
1,0,0,0,0,0,37,1197.1675988898937
0,0,1,0,0,0,88,25934.032583392225
0,1,0,0,0,0,39,1004.2071774103258
0,0,1,0,0,0,71,507.5451214421491
0,0,1,1,0,0,37,28134.956412951044
1,0,0,0,0,0,59,944.7767123678599
1,0,0,0,0,0,20,314.65667539415676
1,0,0,0,0,0,43,3622.0498103852356
1,0,1,0,0,0,26,1241.5346056307365
1,0,0,0,0,0,24,220.04566040300253
1,0,0,0,0,0,43,732.7135416326902
0,1,1,0,0,1,65,858.6435329384371
1,1,0,0,0,0,44,783.9909901109862
0,0,0,1,0,0,74,509.4111955918176
1,0,0,0,0,0,41,335.84335135848175
1,0,0,0,0,0,42,719.2501259502551
1,1,0,0,0,0,30,431.1951187014127
0,0,1,1,0,0,51,848.3877031831059
1,0,0,0,0,0,28,1964.4743445595825
1,1,0,0,0,0,18,1336.1498528658844
1,0,0,0,0,0,43,1674.8545925557305
1,0,0,0,0,0,35,389.8840652853427
1,0,0,0,0,0,49,611.0117816685662
1,0,0,0,0,0,25,197.69713952758488
1,1,0,0,0,0,52,743.2373006065226
1,0,0,0,0,0,20,507.407716537783
1,0,0,0,0,0,54,322.0095038045273
1,0,0,0,0,0,51,466.839540531121
0,0,1,1,0,0,25,41928.18698063338
1,0,0,0,0,0,32,12314.583378830226
0,0,0,0,0,0,63,14294.040079793933
1,0,0,0,0,0,39,262.94981548599395
0,1,1,0,0,1,55,585.0717776922121
0,0,1,0,0,0,29,28532.39424105944
1,1,0,0,0,0,78,537.0959286000323
1,0,0,0,0,0,44,706.3037944358209
1,1,0,0,0,0,31,1018.1130555949576
1,0,0,0,0,0,46,426.10685009911316
1,0,0,0,0,0,21,505.0428103629403
1,1,0,0,0,0,31,367.73466292801515
0,0,1,0,0,0,44,32014.33954639625
1,1,0,0,0,0,25,179.02815809095824
1,0,0,0,0,0,29,1271.9004026851583
0,0,1,0,0,0,59,1180.5230384043223
1,0,0,0,0,0,53,1034.2497955899262
1,0,0,0,0,0,55,1068.165028150679
1,0,0,0,0,0,66,479.1042845810404
1,1,0,0,0,0,75,785.1241042463777
0,1,1,0,0,0,81,20788.991315682368
1,1,0,0,0,0,64,877.8521961228345
1,0,1,0,0,0,39,382.39225755345103
0,0,1,1,0,0,73,1395.9625603782622
0,1,0,0,0,0,52,973.4988897020961
0,1,1,0,0,1,63,336.4339926944339
0,0,1,1,0,0,21,34882.15788605302
1,0,0,0,0,0,47,421.2119751663238
1,1,0,0,0,0,77,725.490311542891
1,0,0,0,0,0,38,463.5135584822388
1,0,0,1,0,0,20,577.8507829526521
1,0,0,0,0,0,72,658.1823990663845
0,0,1,1,0,0,64,26879.696403975762
1,1,0,0,0,0,72,505.5049184411251
1,1,0,0,0,0,79,153.24329256913228
0,0,1,0,0,0,73,37236.32987852034
1,0,0,0,0,0,33,394.281376184254
1,0,0,0,0,0,69,8853.237331183582
1,0,1,0,0,0,75,266.53533777927566
1,0,0,0,0,0,30,421.135602396952
1,0,1,0,0,0,53,785.1410915309464
1,1,0,0,0,0,44,4534.64194913972
0,0,1,1,0,0,86,10636.105453566384
1,1,1,0,0,0,58,500.7640852504149
0,1,0,0,1,0,47,12506.75819292317
1,0,0,0,0,0,71,229.0265412211807
1,0,0,0,0,0,46,1184.9624024746277
1,1,0,0,0,0,80,186.0740593132798
1,0,0,0,0,0,56,1265.633129643405
1,0,0,0,0,0,60,602.4775286479937
1,0,0,0,0,0,50,96.79807745378625
1,0,0,0,0,0,28,1900.663980441182
1,1,0,0,0,0,58,3341.866041996954
1,1,0,0,0,0,27,82.70806474056135
0,0,1,0,0,0,88,33764.92403855063
1,0,0,0,0,0,20,2419.3814571033777
1,0,0,0,0,0,69,295.6043837469867
1,0,0,0,0,0,48,4097.712852646339
1,0,0,0,0,0,66,1578.1026973822618
1,1,0,0,0,0,64,531.8277341520713
1,0,0,0,0,0,25,576.4132170922055
1,0,0,0,0,0,42,216.54276608397763
1,1,0,0,0,0,42,772.8303574335298
1,0,0,0,0,0,39,122.54180486116026
1,0,1,0,0,0,32,206.78707884413353
1,1,0,0,0,0,37,346.2928725239901
1,0,0,0,0,0,81,12845.736551888469
1,0,0,0,0,0,56,715.4103973034265
0,1,0,0,0,1,34,458.66266163966986
1,0,0,0,0,0,39,2050.5318422200958
1,0,0,1,0,0,35,1289.6838066655755
1,1,0,0,0,0,26,1017.2992935480967
1,0,0,0,0,0,63,882.752862045547
0,0,1,1,0,0,66,824.6436933255276
1,1,0,0,0,0,34,1034.8529573397848
0,0,1,0,0,0,51,2232.5832119429338
1,0,0,0,0,0,47,248.23247797262573
1,0,1,0,0,0,39,444.9636045418927
0,1,0,0,0,0,75,487.4820872480578
1,0,0,1,0,0,44,350.69874815862136
0,0,1,1,0,0,85,30404.679075069755
1,0,0,0,0,0,31,993.4800432327623
1,0,0,0,0,0,41,246.66722673064524
1,1,0,0,0,0,35,799.898857127109
1,0,0,0,0,0,73,34671.408046267126
1,0,0,0,0,0,69,481.2241617135442
0,0,1,0,0,0,61,1058.7554181280072
0,0,0,0,0,0,86,29306.977625102212
0,0,0,1,0,0,87,39827.06977469282
1,1,0,0,0,0,38,397.25654757290937
1,1,0,0,0,0,23,354.04058651385355
1,0,0,1,0,0,39,283.00496070991625
0,0,0,0,0,0,75,799.1824378256782
1,0,0,0,0,0,68,154.748340378541
1,0,0,0,0,0,68,683.8413615172769
1,0,0,0,0,0,70,712.6472126479603
1,0,0,0,0,0,20,668.7366723718342
1,1,0,0,0,0,33,35620.8393043805
1,0,1,0,0,0,42,810.8992721626953
1,0,0,0,0,0,31,14406.383847314157
1,1,1,0,0,0,76,419.03437514090956
1,0,0,0,0,0,75,1227.7453079317572
1,0,0,0,0,0,31,352.9641290744987
1,0,0,0,0,0,82,631.4216015800388
1,1,0,0,0,0,64,131.69456647680406
1,0,0,0,0,0,20,1203.65781981871
1,0,0,0,0,0,38,258.05235967504274
0,0,0,0,0,0,64,35236.880596264724
0,0,1,0,0,0,64,31187.29250271564
1,0,0,0,0,0,48,610.7317014599854
1,0,0,0,0,0,73,402.3341749050236
1,0,0,0,0,0,38,1175.8342842725526
1,0,0,0,0,0,31,231.17462885042417
1,0,0,0,0,0,39,226.69670224613137
1,0,0,0,0,0,36,2535.6339186766145
1,1,0,0,0,0,35,967.8079033584127
0,0,1,1,0,0,82,41305.44865603226
0,0,1,1,0,0,69,1131.3072225036397
1,1,0,0,0,0,74,193.58716576731797
1,1,0,0,0,0,77,764.5293638071901
1,0,0,0,0,0,18,236.48566348602142
0,0,0,0,0,0,51,41987.984045961006
1,1,0,0,0,0,61,581.6788775051427
1,1,0,0,0,0,33,824.2247485487751
1,0,1,0,0,0,29,477.51345825284295
1,0,0,0,0,0,75,462.7748829432281
1,0,0,0,0,0,47,1208.343666495766
1,0,0,0,0,0,31,94.8047104506444
0,0,0,1,0,0,29,24371.03279520794
1,0,0,0,0,0,72,434.801499648177
1,1,0,0,0,0,52,486.12242503188855
1,0,0,0,0,0,60,308.07483491536817
1,0,0,0,0,0,34,472.7452945695275
1,1,0,0,0,0,66,907.0015658099388
1,0,0,0,0,0,66,589.5229825356549
1,0,0,0,0,0,25,887.2754105700348
1,1,0,0,0,0,22,741.1855423464292
1,0,0,0,0,0,30,107.68981347974638
1,1,0,0,0,0,58,407.4196199121643
1,0,0,0,0,0,55,33369.796739888276
1,1,0,0,0,0,47,680.2562473644027
1,0,0,0,0,0,52,295.3027061093461
1,0,0,0,0,0,57,495.47443792860935
1,1,0,0,0,0,68,329.1456609710741
0,0,0,0,0,0,56,933.6754117537522
0,0,0,0,0,0,67,24151.705169999106
1,1,0,0,0,0,64,364.4621368491578
0,0,0,0,0,0,74,42259.152898509
0,0,1,1,0,0,71,33737.24469874435
1,0,0,0,0,0,26,4592.718297351179
1,0,0,0,0,0,74,571.0543224017513
1,0,0,0,0,0,44,1093.3283697918357
1,0,0,0,0,0,67,1600.9611913371666
1,0,0,0,0,0,43,3832.0631514042298
1,0,0,0,0,0,69,508.04297138637554
0,0,0,0,0,0,56,4887.445104371913
1,0,0,0,0,0,29,788.6701621614618
1,1,1,0,0,0,43,659.2365058535396
1,1,0,0,0,0,39,410.11776770625335
1,0,0,0,0,0,56,258.93276490859705
1,0,0,0,0,0,30,116.66596770256972
1,0,0,0,0,0,45,4652.63061085669
1,0,0,0,0,0,71,807.6994775267962
1,1,0,0,0,0,18,513.746560517019
0,0,1,0,0,0,59,560.1931155383307
1,0,1,0,0,0,46,1125.624281724819
1,0,0,0,0,0,70,793.5497549349593
1,0,0,0,0,0,35,267.19941883691075
0,1,1,0,0,1,75,129.21725793915792
1,0,0,0,0,0,22,153.82865869307287
0,0,1,0,0,0,85,34643.47466792157
1,0,0,0,0,0,54,1218.1915815870548
1,0,0,0,0,0,48,497.21790338988075
1,1,0,0,0,0,65,128.6336737578308
1,1,0,0,0,0,51,826.7362358823677
0,0,0,0,0,0,58,1502.4218517280333
0,0,0,0,0,0,54,33959.465200077015
0,0,1,0,0,0,68,654.7859703124387
1,0,0,0,0,0,48,673.4107110541992
1,1,0,0,0,0,48,1348.7266574860387
0,1,1,0,0,0,39,369.68232324887407
1,1,0,0,0,0,36,1012.5019877543505
1,1,0,0,0,0,20,874.3694992789998
0,1,1,0,0,1,55,14898.726889319656
0,0,0,0,0,0,62,43293.827513063196
1,0,0,0,0,0,56,728.8301626457524
1,1,0,0,0,0,48,1011.0085378851306
0,0,0,1,0,0,25,2944.0552570135264
1,0,0,0,0,0,33,420.10767163130697
1,0,0,0,0,0,37,1617.5268117429925
1,0,0,0,0,0,36,508.20098344000667
1,1,0,0,0,0,52,691.1014939043819
1,0,0,0,0,0,78,339.88403070909897
1,1,0,0,0,0,77,1492.3359154371874
1,1,0,0,0,0,27,978.3707561119654
1,0,0,0,0,0,68,21516.729223751227
0,0,1,0,0,0,73,30583.393405532413
1,1,0,0,0,0,49,200.17558148001973
1,0,0,0,0,0,37,692.6783918883909
1,0,0,0,0,0,51,246.6469851520151
1,0,0,0,0,0,30,618.7227448114969
1,0,0,0,0,0,35,1511.455030948757
1,1,0,0,0,0,39,1208.209828667457
1,1,0,0,0,0,59,249.7995321828734
1,1,0,0,0,0,72,270.9112497975969
1,0,0,0,0,0,52,1231.6273116853665
1,0,0,0,0,0,31,610.7977142774749
1,0,0,0,0,0,58,501.5524773568139
1,1,0,0,0,1,68,65.89428854994922
1,0,0,0,0,0,28,1117.27976335158
0,0,1,1,0,0,43,41663.14225266849
1,1,0,0,0,0,42,568.0994837323345
0,1,1,0,0,0,81,1211.7828947553417
1,0,0,0,0,0,65,320.8235438582858
1,0,0,0,0,0,36,218.9756435086527
0,1,1,0,0,0,41,32812.13366192774
1,1,0,0,0,0,48,690.8513729092755
1,1,0,0,0,0,46,706.8965452058957
1,0,0,0,0,0,33,413.7032409594889
1,0,0,0,0,0,28,294.74682441207324
1,0,0,1,0,0,68,2815.655854510392
1,0,0,0,0,0,42,203.14010623242555
1,1,0,0,0,0,21,573.1736032385242
1,0,0,0,0,0,66,244.41999479475876
0,0,1,1,0,0,20,26230.733094475883
1,0,0,0,0,0,76,636.4932309570255
1,0,0,0,0,0,19,484.1204502494319
1,1,0,0,0,0,80,334.29372230833235
1,0,0,0,0,0,27,1234.5001367977377
1,1,0,0,0,0,33,744.5673367366262
1,0,0,0,0,0,33,804.0292869767516
1,0,0,0,0,0,28,712.9091364354401
0,0,1,0,0,0,62,6711.926632976628
0,1,0,0,0,1,24,21543.783527402527
1,1,0,0,0,0,26,143.16154824799742
1,0,0,0,0,0,35,298.0890659266067
1,0,0,0,0,0,55,103.58768705603956
1,0,0,0,0,0,75,551.1371199433145
1,0,0,0,0,0,29,860.5611930684718
1,0,0,0,0,0,24,471.9452920425331
0,0,0,1,0,0,70,42091.55863974094
1,0,0,0,0,0,43,262.7129279702879
1,1,0,0,0,0,34,657.6824444884534
0,1,1,0,0,0,41,154.65941531298353
1,1,0,0,0,0,83,230.42263036541254
1,1,0,0,0,0,28,589.2478873595289
1,0,0,0,0,0,74,187.8939611996805
1,0,0,0,0,0,42,289.65621825672895
1,1,0,0,0,0,30,557.0153634995635
1,1,0,0,0,0,35,40.425586945120436
0,0,1,0,0,0,46,32243.02536160891
0,0,0,1,0,0,70,657.3202314068924
0,1,0,0,0,1,34,3477.3483153915363
1,1,0,0,0,0,28,670.3430342741553
1,0,1,0,0,0,41,9197.565407176571
1,0,0,0,0,0,37,6177.008911189279
0,0,0,1,0,0,55,26747.55958718392
1,0,0,0,0,0,35,414.98924895627584
1,0,0,0,0,0,77,262.2171300406036
1,0,0,0,0,0,49,544.216995640118
0,0,0,0,0,0,82,7486.137858248628
1,1,0,0,0,0,23,181.8284464654049
0,0,0,0,0,0,50,30151.457494603517
1,0,0,0,0,0,63,303.9374058558703
1,0,0,0,0,0,76,506.15982158666924
1,0,0,0,0,0,56,299.95294760178314
1,0,0,0,0,0,47,736.5953530216658
1,0,1,0,0,0,41,1077.7081832361048
0,0,1,1,0,0,29,30598.533323083604
0,0,0,0,0,0,54,9870.802996430859
1,0,0,0,0,0,40,725.6231120247797
1,1,0,0,0,0,64,457.21437725606893
1,0,0,0,0,0,39,2792.480282086813
1,0,0,0,0,0,39,157.4459012567991
1,0,0,0,0,0,57,1163.8822809392361
1,1,0,0,0,0,25,492.7903137433736
1,0,0,0,0,0,31,477.86470241533124
1,0,1,0,0,0,53,601.2243492114615
1,0,0,0,0,0,66,459.4991597534253
0,0,1,0,0,0,69,40497.574579254855
1,0,0,0,0,0,21,569.4306760523568
1,1,0,0,0,0,61,1000.522898482928
1,0,0,0,0,0,55,774.0098646166881
0,0,0,0,0,0,33,41776.92736720435
0,0,1,0,0,0,82,28341.92064627178
1,0,0,0,0,0,58,163.444999266031
1,0,0,0,0,0,56,1210.7748186879041
1,0,0,0,0,0,49,559.0985432554171
1,0,0,0,0,0,63,195.91630574313427
0,0,1,1,0,0,69,1356.968675274558
1,0,0,0,0,0,53,595.884412083927
1,0,0,0,0,0,72,1026.2516719047555
0,0,1,1,0,0,83,17834.493268880477
0,0,1,0,0,0,71,666.9795118789317
1,1,0,0,0,0,47,520.5808707004678
1,0,0,0,0,0,68,327.4074830374057
0,0,1,0,0,0,30,8967.50565289474
1,0,0,0,0,0,65,373.80399392970253
1,0,0,0,0,0,68,198.06958452219766
0,0,0,1,0,0,40,25146.66849074964
0,1,1,0,0,1,68,693.8813867537161
0,0,1,1,0,0,60,32192.88628828653
0,0,1,0,0,0,37,1037.6588560553384
1,0,1,0,0,0,55,344.87986580449126
1,0,0,0,0,0,37,479.7450151114566
0,0,1,0,0,0,28,657.624168444109
1,1,0,0,0,0,42,415.14209115350263
0,0,0,1,0,0,71,3474.56340214453
1,1,0,0,0,0,59,762.8418505771067
1,0,0,0,0,0,38,1199.7241375629303
1,0,0,0,0,0,58,746.6952409208776
0,0,1,0,0,0,73,332.86903341886045
1,0,0,0,0,0,25,386.0721683401262
0,0,0,0,0,0,29,3752.580768254171
1,0,0,0,0,0,26,460.58750802102276
1,0,0,0,0,0,66,204.73827641512366
1,1,0,0,0,0,65,271.65310669218593
0,0,1,1,0,0,72,24264.98214060929
1,0,0,0,0,0,35,246.8944398017348
0,0,1,1,0,0,38,22705.60621935482
1,0,0,0,0,0,41,78.13058025145727
1,1,0,0,0,0,81,239.1096662166261
1,0,0,0,0,0,64,727.899746540322
1,0,0,0,0,0,78,1758.5097952975364
0,0,1,1,0,0,82,25070.040973692703
0,1,0,0,0,0,66,10903.960194912484
1,0,0,0,0,0,27,680.5109414071891
1,1,0,0,0,0,53,773.4001624764694
1,0,0,0,0,0,35,752.0945453055581
0,0,1,0,0,0,85,2304.7097867204434
1,0,0,0,0,0,65,116.53042332467501
1,0,0,0,0,0,55,501.49608383245834
1,0,0,0,0,0,44,155.71825678725708
0,0,1,1,0,0,53,16999.180944184922
0,0,1,1,0,0,39,33222.13058399154
1,0,0,0,0,0,82,133.4309772044418
0,0,1,1,0,0,21,24445.153472799535
0,0,1,0,0,0,44,14826.124168907012
1,0,0,0,0,0,46,486.59576817586844
1,0,0,0,0,0,35,961.7122736030752
1,1,0,0,0,0,67,444.929106707181
1,0,0,0,0,0,31,2003.801853864747
1,1,0,0,0,0,62,1230.9682105272868
1,0,1,0,0,0,42,1561.1480364484696
1,0,0,0,0,0,31,648.2630473620146
1,0,0,0,0,0,42,336.38533710823674
1,1,0,0,0,0,72,2700.3403304520607
0,0,0,0,0,0,59,33393.44982643763
1,0,0,0,0,0,35,962.1425631075898
1,1,0,0,0,0,79,1603.0654349823271
1,0,0,0,0,0,75,586.3242245419694
1,0,0,0,0,0,41,1112.446570391604
1,0,0,0,0,0,29,154.4676902223414
1,0,0,0,0,0,44,785.8191007382177
1,0,0,0,0,0,55,119.90268723908754
1,0,0,0,0,0,57,569.5185982283979
1,1,1,0,0,0,68,527.9570675070529
1,0,0,0,0,0,25,738.3457652239088
1,0,0,0,0,0,33,522.3541826204772
1,0,0,0,0,0,19,202.17492510281846
1,0,1,0,0,0,42,485.79002787184777
1,0,0,0,0,0,66,662.2829954169122
0,0,1,0,0,0,68,39138.01030865392
1,1,0,0,0,0,34,30.759990681997746
1,0,0,0,0,0,27,546.6405011384492
1,0,1,0,0,0,70,884.6425313583915
1,0,0,0,0,0,54,164.15404091681205
1,0,0,0,0,0,43,2948.1481323208327
1,1,0,0,0,0,30,36.24030394597065
1,1,0,0,0,0,58,307.6846178379233
1,1,0,0,0,0,55,380.33253947800864
1,0,0,0,0,0,23,1175.3768422039482
1,0,1,0,0,0,33,1952.64747838607
1,0,0,1,0,0,27,1183.4752345772674
1,0,0,0,0,0,32,868.6480168089319
1,1,0,0,0,0,31,922.6536272425689
1,0,0,0,0,0,68,11709.75989020763
1,0,0,0,0,0,31,1397.1200115421939
1,1,0,0,0,0,37,356.8165178122033
1,1,0,0,0,0,59,268.36937871925875
1,0,0,0,0,0,28,1373.0326390764433
1,1,0,0,0,0,58,820.0664771429402
0,0,0,1,0,0,53,427.2279579340645
1,0,0,0,0,0,25,436.066132154051
1,1,0,0,0,0,21,636.8277769847202
1,1,0,0,0,0,30,585.7081394216899
1,0,0,0,0,0,77,4213.982727684156
1,0,0,0,0,0,41,790.4008613294184
1,1,0,0,0,0,34,693.5005235759825
0,1,0,0,1,0,87,494.4825586495897
1,0,1,0,0,0,20,2569.4323855834355
1,0,0,0,0,0,65,1292.865862914308
1,0,0,0,0,0,57,2043.5745829959037
1,0,0,0,0,0,61,255.62570129071963
1,0,0,0,0,0,30,274.8676084426963
1,0,0,0,0,0,25,843.8016765641082
0,0,0,0,0,0,48,30008.404535370333
1,0,0,0,0,0,32,1205.4596389337603
0,0,0,1,0,0,79,24300.506810034687
1,1,0,0,0,0,36,695.685307478033
1,1,0,0,0,0,57,544.4498436851411
1,1,0,0,0,0,18,146.64574465204896
0,0,1,0,0,0,62,28131.924551021122
1,0,0,0,0,0,44,867.1440187213949
1,1,0,0,0,0,62,530.5629040412107
1,0,0,0,0,0,41,772.6489254869273
1,0,0,1,0,0,65,65.88943070250711
0,0,1,0,0,0,27,1210.2462336886294
1,0,0,0,0,0,59,127.93666084664213
1,0,0,0,0,0,74,160.33278894172733
0,0,0,0,0,0,71,14225.452424784951
0,0,0,0,0,0,58,21375.799371601308
1,0,0,0,0,0,56,1428.2896240468783
0,0,0,0,0,0,57,2885.301989317138
1,0,0,0,0,0,37,409.8972663579971
1,0,0,0,0,0,19,1061.5268820159413
1,1,0,0,0,0,68,414.69835198389245
1,0,0,0,0,0,67,249.2293511962195
1,0,1,0,0,0,70,474.826283953386
1,0,0,0,0,0,67,696.6476779956934
1,0,0,0,0,0,57,202.4862829303569
1,0,0,0,0,0,55,266.20033113427974
1,0,0,0,0,0,45,811.4674603545535
1,0,0,0,0,0,29,390.81521106421013
1,0,0,0,0,0,55,118.17047740780684
1,0,1,0,0,0,57,345.68442726406937
1,0,0,0,0,0,38,350.4778300789289
0,0,1,0,0,0,56,37907.863432666156
0,1,0,0,0,1,82,16822.480944011717
